,Material,name,Hex,Hex_primary,rgb
0,Solid,White,F4F4F4,#F4F4F4,"(244, 244, 244)"
1,Solid,Grey,8A928D,#8A928D,"(138, 146, 141)"
2,Solid,Light Yellow,FFD67F,#FFD67F,"(255, 214, 127)"
3,Solid,Brick Red,F2705E,#F2705E,"(242, 112, 94)"
4,Solid,Brick Yellow,B0A06F,#B0A06F,"(176, 160, 111)"
5,Solid,Light Green,ADD9A8,#ADD9A8,"(173, 217, 168)"
6,Solid,Orange,FF8500,#FF8500,"(255, 133, 0)"
7,Solid,Cobalt Blue,8C00FF,#8C00FF,"(140, 0, 255)"
8,Solid,Light Reddish Violet,F6A9BB,#F6A9BB,"(246, 169, 187)"
9,Solid,Pastel Blue,ABD9FF,#ABD9FF,"(171, 217, 255)"
10,Solid,Light Orange Brown,D86D2C,#D86D2C,"(216, 109, 44)"
11,Solid,Red Orange,FF8014,#FF8014,"(255, 128, 20)"
12,Solid,Pastel Green,78FC78,#78FC78,"(120, 252, 120)"
13,Solid,Lemon,FFF230,#FFF230,"(255, 242, 48)"
14,Solid,Pink,FF879C,#FF879C,"(255, 135, 156)"
15,Solid,Rose,FF9494,#FF9494,"(255, 148, 148)"
16,Solid,Nougat,BB805A,#BB805A,"(187, 128, 90)"
17,Solid,Light Brown,CF8A47,#CF8A47,"(207, 138, 71)"
18,Solid,Bright Red,B40000,#B40000,"(180, 0, 0)"
19,Solid,Medium Reddish Violet,D05098,#D05098,"(208, 80, 152)"
20,Solid,Bright Blue,1E5AA8,#1E5AA8,"(30, 90, 168)"
21,Solid,Bright Yellow,FAC80A,#FAC80A,"(250, 200, 10)"
22,Solid,Earth Orange,543324,#543324,"(84, 51, 36)"
23,Solid,Black,1B2A34,#1B2A34,"(27, 42, 52)"
24,Solid,Dark Grey,545955,#545955,"(84, 89, 85)"
25,Solid,Dark Green,00852B,#00852B,"(0, 133, 43)"
26,Solid,Medium Green,7FC475,#7FC475,"(127, 196, 117)"
27,Solid,Light Yellowish Orange,FDC383,#FDC383,"(253, 195, 131)"
28,Solid,Bright Green,58AB41,#58AB41,"(88, 171, 65)"
29,Solid,Dark Orange,91501C,#91501C,"(145, 80, 28)"
30,Solid,Light Bluish Violet,AFBED6,#AFBED6,"(175, 190, 214)"
31,Solid,Light Blue,97CBD9,#97CBD9,"(151, 203, 217)"
32,Solid,Light Red,F9B7A5,#F9B7A5,"(249, 183, 165)"
33,Solid,Medium Red,F06D61,#F06D61,"(240, 109, 97)"
34,Solid,Medium Blue,7396C8,#7396C8,"(115, 150, 200)"
35,Solid,Light Grey,BCB4A5,#BCB4A5,"(188, 180, 165)"
36,Solid,Bright Violet,671FA1,#671FA1,"(103, 31, 161)"
37,Solid,Bright Yellowish Orange,F58624,#F58624,"(245, 134, 36)"
38,Solid,Bright Orange,D67923,#D67923,"(214, 121, 35)"
39,Solid,Bright Bluish Green,069D9F,#069D9F,"(6, 157, 159)"
40,Solid,Earth Yellow,56472F,#56472F,"(86, 71, 47)"
41,Solid,Bright Bluish Violet,26469A,#26469A,"(38, 70, 154)"
42,Solid,Medium Bluish Violet,4861AC,#4861AC,"(72, 97, 172)"
43,Solid,Medium Yellowish Green,B7D425,#B7D425,"(183, 212, 37)"
44,Solid,Medium Bluish Green,00AAA4,#00AAA4,"(0, 170, 164)"
45,Solid,Light Bluish Green,9CD6CC,#9CD6CC,"(156, 214, 204)"
